=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: node_count           | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current_children', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(current_children) | Type: PathExprSegNode           | Symbol: Symbol{name='current_children', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: current_children     | Type: IdentifierNode            | Symbol: Symbol{name='current_children', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='ch_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(ch_index) | Type: PathExprSegNode           | Symbol: Symbol{name='ch_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: ch_index             | Type: IdentifierNode            | Symbol: Symbol{name='ch_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(trie)    | Type: PathExprSegNode           | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: trie                 | Type: IdentifierNode            | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: node_count           | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(trie)    | Type: PathExprSegNode           | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: trie                 | Type: IdentifierNode            | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(trie)    | Type: PathExprSegNode           | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: trie                 | Type: IdentifierNode            | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: node_count           | Type: IdentifierNode            | Symbol: null
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='init_trie_node', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(init_trie_node) | Type: PathExprSegNode           | Symbol: Symbol{name='init_trie_node', kind=FUNCTION, scopeLevel=0}
Node: init_trie_node       | Type: IdentifierNode            | Symbol: Symbol{name='init_trie_node', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(trie)    | Type: PathExprSegNode           | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: trie                 | Type: IdentifierNode            | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: node_count           | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(current_node) | Type: PathExprSegNode           | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: current_node         | Type: IdentifierNode            | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current_children', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(current_children) | Type: PathExprSegNode           | Symbol: Symbol{name='current_children', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: current_children     | Type: IdentifierNode            | Symbol: Symbol{name='current_children', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='ch_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(ch_index) | Type: PathExprSegNode           | Symbol: Symbol{name='ch_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: ch_index             | Type: IdentifierNode            | Symbol: Symbol{name='ch_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pos', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(pos)     | Type: PathExprSegNode           | Symbol: Symbol{name='pos', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: pos                  | Type: IdentifierNode            | Symbol: Symbol{name='pos', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pos', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(pos)     | Type: PathExprSegNode           | Symbol: Symbol{name='pos', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: pos                  | Type: IdentifierNode            | Symbol: Symbol{name='pos', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='length', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(length)  | Type: PathExprSegNode           | Symbol: Symbol{name='length', kind=PARAMETER, scopeLevel=1}
Node: length               | Type: IdentifierNode            | Symbol: Symbol{name='length', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
