=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: FieldVal(value)      | Type: FieldValNode              | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_value', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_value) | Type: PathExprSegNode           | Symbol: Symbol{name='node_value', kind=PARAMETER, scopeLevel=1}
Node: node_value           | Type: IdentifierNode            | Symbol: Symbol{name='node_value', kind=PARAMETER, scopeLevel=1}
Node: FieldVal(path_sum)   | Type: FieldValNode              | Symbol: Symbol{name='path_sum', kind=FIELD, scopeLevel=0}
Node: path_sum             | Type: IdentifierNode            | Symbol: Symbol{name='path_sum', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_value', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_value) | Type: PathExprSegNode           | Symbol: Symbol{name='node_value', kind=PARAMETER, scopeLevel=1}
Node: node_value           | Type: IdentifierNode            | Symbol: Symbol{name='node_value', kind=PARAMETER, scopeLevel=1}
Node: FieldVal(is_preferred_child) | Type: FieldValNode              | Symbol: Symbol{name='is_preferred_child', kind=FIELD, scopeLevel=0}
Node: is_preferred_child   | Type: IdentifierNode            | Symbol: Symbol{name='is_preferred_child', kind=FIELD, scopeLevel=0}
Node: Function(compute_subtree_sizes_recursive) | Type: FunctionNode              | Symbol: Symbol{name='compute_subtree_sizes_recursive', kind=FUNCTION, scopeLevel=0}
Node: compute_subtree_sizes_recursive | Type: IdentifierNode            | Symbol: Symbol{name='compute_subtree_sizes_recursive', kind=FUNCTION, scopeLevel=0}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(HeavyLightTree) | Type: PathExprSegNode           | Symbol: Symbol{name='HeavyLightTree', kind=STRUCT, scopeLevel=0}
Node: HeavyLightTree       | Type: IdentifierNode            | Symbol: Symbol{name='HeavyLightTree', kind=STRUCT, scopeLevel=0}
Node: node_id              | Type: IdentifierNode            | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: parent_id            | Type: IdentifierNode            | Symbol: Symbol{name='parent_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: current_depth        | Type: IdentifierNode            | Symbol: Symbol{name='current_depth', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=PARAMETER, scopeLevel=1}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_id) | Type: PathExprSegNode           | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: node_id              | Type: IdentifierNode            | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
